GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,facebook.com,com,497333,2914054,facebook.com,com,1,1,497433,2916195
2,2,google.com,com,492473,2686536,google.com,com,2,2,492566,2688444
3,3,youtube.com,com,448907,2363645,youtube.com,com,3,3,449037,2365849
4,4,twitter.com,com,439791,2327752,twitter.com,com,4,4,439928,2329826
5,5,instagram.com,com,353072,1721296,instagram.com,com,5,5,352891,1721838
6,6,linkedin.com,com,341538,1508283,linkedin.com,com,6,6,341473,1508832
7,7,microsoft.com,com,308805,1108908,microsoft.com,com,7,7,309214,1110497
8,8,apple.com,com,291894,1012747,apple.com,com,8,8,292028,1014057
9,1,wikipedia.org,org,285706,1109563,wikipedia.org,org,9,1,285825,1110920
10,9,plus.google.com,com,251012,1072863,plus.google.com,com,10,9,251137,1073489
