GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,facebook.com,com,497333,2914054,facebook.com,com,1,1,497433,2916195
2,2,google.com,com,492473,2686536,google.com,com,2,2,492566,2688444
3,3,youtube.com,com,448907,2363645,youtube.com,com,3,3,449037,2365849
4,4,twitter.com,com,439791,2327752,twitter.com,com,4,4,439928,2329826
5,5,instagram.com,com,353072,1721296,instagram.com,com,5,5,352891,1721838
6,6,linkedin.com,com,341538,1508283,linkedin.com,com,6,6,341473,1508832
7,7,microsoft.com,com,308805,1108908,microsoft.com,com,7,7,309214,1110497
8,8,apple.com,com,291894,1012747,apple.com,com,8,8,292028,1014057
9,1,wikipedia.org,org,285706,1109563,wikipedia.org,org,9,1,285825,1110920
10,9,plus.google.com,com,251012,1072863,plus.google.com,com,10,9,251137,1073489
11,10,googletagmanager.com,com,240642,844668,googletagmanager.com,com,11,10,240528,844774
12,2,en.wikipedia.org,org,239394,829777,en.wikipedia.org,org,12,2,239390,830726
13,1,youtu.be,be,237875,834838,youtu.be,be,13,1,238162,836459
14,11,pinterest.com,com,228847,977174,pinterest.com,com,14,11,228873,977204
15,12,vimeo.com,com,224422,865158,vimeo.com,com,15,12,224379,866374
16,13,play.google.com,com,221052,668454,play.google.com,com,16,13,221249,668905
17,14,adobe.com,com,217816,650257,adobe.com,com,17,14,218145,651512
18,15,maps.google.com,com,212052,763350,maps.google.com,com,18,15,212065,763586
19,16,itunes.apple.com,com,211205,605760,itunes.apple.com,com,19,16,211433,607220
20,1,goo.gl,gl,209555,714095,goo.gl,gl,20,1,209634,714668
21,17,wordpress.com,com,205471,715018,wordpress.com,com,21,17,205573,716274
22,1,bit.ly,ly,196042,625759,bit.ly,ly,22,1,196268,626703
23,18,blogspot.com,com,192878,659027,blogspot.com,com,23,18,192954,659954
24,19,github.com,com,192740,540029,github.com,com,24,19,192635,539108
25,3,wordpress.org,org,189599,773145,wordpress.org,org,25,3,189495,773041
26,20,player.vimeo.com,com,187682,682965,player.vimeo.com,com,26,20,187787,683966
27,21,amazon.com,com,184913,592380,amazon.com,com,27,21,184912,591975
28,22,docs.google.com,com,184180,565854,docs.google.com,com,28,22,184258,566484
29,23,yahoo.com,com,170711,482383,yahoo.com,com,29,23,170595,481728
30,4,mozilla.org,org,161735,472155,mozilla.org,org,30,4,164104,478961
31,24,tumblr.com,com,160535,557289,tumblr.com,com,31,24,160721,557945
32,25,drive.google.com,com,150961,437810,drive.google.com,com,32,25,150939,437636
33,26,flickr.com,com,147028,446099,flickr.com,com,33,26,147164,446841
34,27,go.microsoft.com,com,144899,456426,go.microsoft.com,com,34,27,145647,457778
35,28,support.google.com,com,142975,473961,support.google.com,com,35,28,143107,474858
36,29,gravatar.com,com,139859,464659,gravatar.com,com,36,29,139694,464026
37,1,europa.eu,eu,137571,447448,europa.eu,eu,37,1,137840,449002
38,30,qq.com,com,132672,1114519,qq.com,com,38,30,132521,1113513
39,31,reddit.com,com,132324,428535,reddit.com,com,39,31,132389,428721
40,32,nytimes.com,com,132009,373488,nytimes.com,com,40,32,132113,374253
41,5,apache.org,org,131960,277501,apache.org,org,41,5,132020,277042
42,6,w3.org,org,128811,293399,w3.org,org,42,6,128926,293493
43,33,soundcloud.com,com,125373,387483,soundcloud.com,com,43,33,125581,388020
44,34,sites.google.com,com,125185,315560,sites.google.com,com,44,34,125337,316016
45,35,apps.apple.com,com,125064,285584,apps.apple.com,com,45,35,124999,284884
46,36,amazonaws.com,com,124812,296056,amazonaws.com,com,46,36,124985,296319
47,1,nih.gov,gov,124369,333430,nih.gov,gov,47,1,124561,333770
48,37,whatsapp.com,com,122217,427299,whatsapp.com,com,48,37,122022,426433
49,1,t.co,co,120489,355485,t.co,co,49,1,120670,355972
50,38,support.microsoft.com,com,120407,296731,support.microsoft.com,com,50,38,120533,297355
51,39,macromedia.com,com,119931,293747,macromedia.com,com,51,39,120051,294113
52,1,sourceforge.net,net,118486,257628,sourceforge.net,net,52,1,118560,257619
53,40,forbes.com,com,117863,309468,forbes.com,com,53,40,118081,310128
54,41,get.adobe.com,com,117725,273894,get.adobe.com,com,54,41,116638,268479
55,1,github.io,io,113655,259253,github.io,io,56,1,112842,256842
56,42,theguardian.com,com,112744,304524,theguardian.com,com,55,42,112959,305578
57,43,medium.com,com,112429,288303,medium.com,com,57,43,112308,288170
58,44,cnn.com,com,111285,289271,cnn.com,com,58,44,111469,289706
59,45,virginmedia.com,com,110745,255892,virginmedia.com,com,59,45,110240,253784
60,46,dropbox.com,com,108984,274901,dropbox.com,com,60,46,109265,275507
61,2,www.ncbi.nlm.nih.gov,gov,108629,280897,www.ncbi.nlm.nih.gov,gov,61,2,108823,281185
62,2,ec.europa.eu,eu,107480,332033,ec.europa.eu,eu,62,2,107702,333072
63,1,bbc.co.uk,uk,107447,280788,bbc.co.uk,uk,63,1,107680,281730
64,7,creativecommons.org,org,107381,260205,creativecommons.org,org,64,7,107556,260680
65,8,archive.org,org,107189,276142,archive.org,org,65,8,107294,276510
66,47,support.apple.com,com,106532,299434,support.apple.com,com,66,47,106524,299353
67,1,who.int,int,103430,241121,who.int,int,67,1,103684,241649
